,sym,stock,open,high,low,close,volume
2019-03-28,2542,興富發,49.75,49.85,49.60,49.85,1973832
2019-03-27,2542,興富發,49.60,49.95,49.50,49.75,3593183
2019-03-26,2542,興富發,49.60,49.60,49.30,49.45,1851803
2019-03-25,2542,興富發,49.00,49.45,48.75,49.25,2910850
2019-03-22,2542,興富發,49.75,49.75,49.00,49.25,3557678
2019-03-21,2542,興富發,48.85,49.40,48.85,49.35,4062957
2019-03-20,2542,興富發,48.55,48.80,48.15,48.70,4901945
2019-03-18,2542,興富發,48.45,48.55,48.30,48.55,2861442
2019-03-15,2542,興富發,47.75,48.25,47.60,48.20,19578673
2019-03-14,2542,興富發,47.45,47.70,47.35,47.50,2311368
2019-03-13,2542,興富發,47.50,47.65,47.30,47.40,3055740
2019-03-12,2542,興富發,48.05,48.10,47.50,47.50,4036996
2019-03-11,2542,興富發,47.85,48.45,47.80,47.90,3222868
2019-03-08,2542,興富發,47.50,47.80,47.45,47.65,1140836
2019-03-07,2542,興富發,47.65,47.80,47.50,47.50,1496805
2019-03-06,2542,興富發,47.50,47.80,47.40,47.55,1160783
2019-03-05,2542,興富發,47.50,47.65,47.30,47.50,1155415
2019-03-04,2542,興富發,47.90,47.90,47.30,47.50,1705942
2019-02-27,2542,興富發,47.60,47.75,47.35,47.75,1741237
2019-02-26,2542,興富發,47.90,48.00,47.60,47.60,1676726
2019-02-25,2542,興富發,47.95,48.00,47.80,47.95,925386
2019-02-22,2542,興富發,47.80,47.95,47.55,47.95,1477277
2019-02-21,2542,興富發,48.10,48.10,47.75,48.00,1378982
2019-02-20,2542,興富發,48.00,48.10,47.75,48.05,2250977
2019-02-19,2542,興富發,47.80,47.95,47.75,47.90,904685
2019-02-18,2542,興富發,47.30,47.75,47.30,47.70,1415310
2019-02-15,2542,興富發,47.30,47.40,46.90,47.20,1587047
2019-02-14,2542,興富發,47.40,47.65,47.30,47.30,1818587
2019-02-13,2542,興富發,48.45,48.45,47.65,47.65,4122806
2019-02-12,2542,興富發,48.60,48.80,48.20,48.45,1730222
2019-02-11,2542,興富發,48.10,48.80,47.70,48.40,3934861
2019-01-30,2542,興富發,47.80,47.95,47.65,47.95,1649173
2019-01-29,2542,興富發,47.90,47.90,47.30,47.80,3670169
2019-01-28,2542,興富發,47.90,48.00,47.80,47.95,2809313
2019-01-25,2542,興富發,47.50,47.60,47.25,47.60,2829348
2019-01-24,2542,興富發,46.90,47.50,46.90,47.45,2895558
2019-01-23,2542,興富發,46.70,46.90,46.65,46.90,1275273
2019-01-22,2542,興富發,46.85,46.90,46.65,46.90,1302466
2019-01-21,2542,興富發,46.85,46.95,46.70,46.85,1354027
2019-01-18,2542,興富發,46.40,46.65,46.40,46.60,1453138
2019-01-16,2542,興富發,46.50,46.70,46.30,46.60,1129894
2019-01-15,2542,興富發,46.25,46.60,46.10,46.60,1733579
2019-01-14,2542,興富發,46.30,46.40,46.05,46.25,991219
2019-01-11,2542,興富發,46.40,46.50,45.95,46.30,1199612
2019-01-10,2542,興富發,46.20,46.40,45.75,46.35,2020482
2019-01-09,2542,興富發,45.60,46.25,45.60,46.10,2954825
2019-01-08,2542,興富發,45.60,45.65,45.15,45.15,1346416
2019-01-07,2542,興富發,45.65,45.65,45.30,45.60,1730330
2019-01-04,2542,興富發,44.75,45.40,44.70,45.25,1872877
2019-01-03,2542,興富發,44.90,45.45,44.60,45.05,1597580
2019-01-02,2542,興富發,45.35,45.40,44.50,44.50,1206000
2018-12-28,2542,興富發,44.40,45.20,44.25,45.00,1954228
2018-12-27,2542,興富發,44.60,44.65,44.00,44.40,3170060
2018-12-26,2542,興富發,44.05,44.40,43.90,44.15,2128533
2018-12-25,2542,興富發,44.45,44.50,43.90,43.90,5187838
2018-12-24,2542,興富發,45.80,45.80,44.80,44.90,5417785
2018-12-22,2542,興富發,45.80,46.10,45.75,45.90,376693
2018-12-21,2542,興富發,46.05,46.45,45.95,46.15,2374310
2018-12-20,2542,興富發,45.95,46.80,45.95,46.45,1905065
2018-12-19,2542,興富發,46.30,46.30,45.95,46.25,1488388
2018-12-18,2542,興富發,46.05,46.45,45.95,46.15,2374310
2018-12-17,2542,興富發,46.75,46.75,46.10,46.10,1685943
2018-12-14,2542,興富發,46.85,46.85,46.20,46.45,1870729
2018-12-13,2542,興富發,46.15,46.70,46.15,46.70,1819242
2018-12-12,2542,興富發,46.00,46.50,45.75,46.25,1904031
2018-12-11,2542,興富發,45.75,46.40,45.65,46.00,1279435
2018-12-10,2542,興富發,45.80,46.30,45.60,45.60,1417001
2018-12-07,2542,興富發,46.10,46.30,45.80,46.30,616657
2018-12-06,2542,興富發,46.35,46.35,45.60,45.65,2076018
2018-12-05,2542,興富發,46.30,46.45,46.20,46.35,1459165
2018-12-04,2542,興富發,47.00,47.10,46.60,46.70,2325667
2018-12-03,2542,興富發,47.20,47.30,46.95,47.10,1772457
2018-11-30,2542,興富發,46.75,46.95,46.50,46.90,2784538
2018-11-29,2542,興富發,47.00,47.05,46.50,46.50,1811970
2018-11-28,2542,興富發,46.30,46.70,46.05,46.70,1465897
2018-11-27,2542,興富發,46.55,46.55,46.05,46.25,1451509
2018-11-26,2542,興富發,47.05,47.90,46.05,46.20,5286080
2018-11-23,2542,興富發,45.85,46.10,45.50,45.90,1125650
2018-11-22,2542,興富發,46.30,46.30,45.75,45.95,923250
2018-11-21,2542,興富發,45.85,46.30,45.60,46.25,1306132
2018-11-20,2542,興富發,46.25,46.25,45.85,45.85,1311050
2018-11-19,2542,興富發,46.55,46.60,46.20,46.45,791849
2018-11-16,2542,興富發,46.75,46.75,46.35,46.55,1069226
2018-11-15,2542,興富發,46.45,46.55,46.15,46.55,1157127
2018-11-14,2542,興富發,46.50,46.80,46.00,46.45,1638730
2018-11-13,2542,興富發,46.00,46.80,45.85,46.80,1695696
2018-11-12,2542,興富發,46.60,46.60,46.05,46.60,1518552
2018-11-09,2542,興富發,46.30,46.60,46.10,46.20,772112
2018-11-08,2542,興富發,46.55,46.70,46.25,46.70,2010726
2018-11-07,2542,興富發,46.70,46.90,46.15,46.40,1501892
2018-11-06,2542,興富發,46.00,46.80,45.90,46.55,1708215
2018-11-05,2542,興富發,45.85,46.00,45.30,45.85,2004463
2018-11-02,2542,興富發,45.60,46.20,45.25,46.20,2123024
2018-11-01,2542,興富發,45.20,45.40,45.00,45.30,1488555
2018-10-31,2542,興富發,44.70,45.35,44.55,45.35,1900908
2018-10-30,2542,興富發,44.75,44.75,44.30,44.45,1082162
2018-10-29,2542,興富發,44.40,45.50,44.15,44.60,1860355
2018-10-26,2542,興富發,45.10,45.40,44.05,44.40,2455147
2018-10-25,2542,興富發,45.00,45.20,44.65,45.00,2873489
2018-10-24,2542,興富發,45.40,45.45,45.00,45.40,1590640
2018-10-23,2542,興富發,45.20,45.90,45.15,45.40,2715093
2018-10-22,2542,興富發,45.80,45.90,45.20,45.50,2789864
2018-10-19,2542,興富發,45.80,45.90,44.90,45.90,6018534
2018-10-18,2542,興富發,45.85,46.00,45.50,45.90,1628284
2018-10-17,2542,興富發,45.60,46.20,45.60,45.85,2699794
2018-10-16,2542,興富發,45.25,45.95,45.15,45.90,2869234
2018-10-15,2542,興富發,45.70,45.85,45.20,45.25,3736422
2018-10-12,2542,興富發,45.00,46.55,44.85,46.25,3308215
2018-10-11,2542,興富發,45.55,46.10,45.10,45.60,8762950
2018-10-09,2542,興富發,46.80,47.05,46.35,46.65,2859900
2018-10-08,2542,興富發,46.75,47.50,46.60,47.10,2765288
2018-10-05,2542,興富發,47.50,47.50,46.25,46.75,3042445
2018-10-04,2542,興富發,47.90,47.95,47.65,47.75,2906729
2018-10-03,2542,興富發,48.35,48.45,48.10,48.15,1041793
2018-10-02,2542,興富發,48.30,48.40,48.05,48.35,1964521
2018-10-01,2542,興富發,48.40,48.60,48.10,48.20,2436025
2018-09-28,2542,興富發,48.20,48.40,48.00,48.40,2668555
2018-09-27,2542,興富發,47.50,48.00,47.50,48.00,2187490
2018-09-26,2542,興富發,48.30,48.65,47.45,47.45,2457830
2018-09-25,2542,興富發,48.70,49.00,48.20,48.35,2529344
2018-09-21,2542,興富發,48.40,48.70,48.25,48.70,4469375
2018-09-20,2542,興富發,48.25,48.40,47.70,48.20,3398326
2018-09-19,2542,興富發,47.60,48.30,47.55,48.15,3382065
2018-09-18,2542,興富發,47.50,47.65,47.15,47.50,1613845
2018-09-17,2542,興富發,47.50,47.70,47.05,47.50,2032137
2018-09-14,2542,興富發,48.05,48.10,47.00,47.50,3340041
2018-09-13,2542,興富發,47.00,47.75,47.00,47.65,4509391
2018-09-12,2542,興富發,45.60,47.10,45.60,46.90,5562506
2018-09-11,2542,興富發,44.50,45.40,44.50,45.40,12550755
2018-09-10,2542,興富發,45.15,45.35,44.50,44.60,24141712
2018-09-07,2542,興富發,45.80,45.80,45.10,45.10,43194232
2018-09-06,2542,興富發,49.00,49.45,48.95,49.15,43572981
2018-09-05,2542,興富發,49.90,49.90,48.40,48.80,23172755
2018-09-04,2542,興富發,50.10,50.30,49.60,49.95,14837254
2018-09-03,2542,興富發,50.00,50.30,49.90,50.00,5065570
2018-08-31,2542,興富發,49.45,49.90,49.20,49.90,5424079
2018-08-30,2542,興富發,49.00,49.30,49.00,49.30,3158322
2018-08-29,2542,興富發,48.70,49.00,48.60,48.95,3828877
2018-08-28,2542,興富發,48.45,48.70,48.30,48.60,2774598
2018-08-27,2542,興富發,48.50,48.50,48.20,48.35,1756117
2018-08-24,2542,興富發,48.40,48.55,48.15,48.50,1719846
2018-08-23,2542,興富發,48.50,48.50,48.25,48.40,1211456
2018-08-22,2542,興富發,48.35,48.75,48.30,48.35,3063207
2018-08-21,2542,興富發,47.90,48.20,47.80,48.20,2378455
2018-08-20,2542,興富發,47.80,48.05,47.50,47.70,1550603
2018-08-17,2542,興富發,48.05,48.20,47.75,47.80,2082415
2018-08-16,2542,興富發,47.70,48.00,47.70,47.90,1731868
2018-08-15,2542,興富發,47.95,48.40,47.85,48.00,4003476
2018-08-14,2542,興富發,47.50,48.20,47.40,47.65,14326658
2018-08-13,2542,興富發,48.00,48.00,46.90,47.50,11154175
2018-08-10,2542,興富發,48.00,48.05,47.55,48.00,2420690
2018-08-09,2542,興富發,48.05,48.50,48.05,48.30,3299881
2018-08-08,2542,興富發,47.65,47.95,47.65,47.90,7054141
2018-08-07,2542,興富發,47.50,47.70,47.50,47.65,2605378
2018-08-06,2542,興富發,47.35,47.45,47.20,47.35,1191233
2018-08-03,2542,興富發,47.05,47.40,47.00,47.35,1930858
2018-08-02,2542,興富發,47.20,47.30,46.75,46.90,1989560
2018-08-01,2542,興富發,47.50,47.60,46.90,47.20,2136315
2018-07-31,2542,興富發,46.50,47.30,46.40,47.30,3580570
2018-07-30,2542,興富發,46.20,46.40,46.15,46.40,1438117
2018-07-27,2542,興富發,46.05,46.25,45.85,46.20,1570054
2018-07-26,2542,興富發,46.00,46.05,45.80,45.95,1011042
2018-07-25,2542,興富發,45.75,45.85,45.70,45.80,975070
2018-07-24,2542,興富發,45.70,45.90,45.65,45.70,916186
2018-07-23,2542,興富發,45.85,46.05,45.60,45.80,996425
2018-07-20,2542,興富發,45.75,46.10,45.70,45.85,792897
2018-07-19,2542,興富發,46.30,46.40,45.60,45.65,1534241
2018-07-18,2542,興富發,45.65,46.20,45.40,46.15,2269980
2018-07-17,2542,興富發,45.40,45.80,45.20,45.40,858468
2018-07-16,2542,興富發,45.60,45.90,45.35,45.40,870366
2018-07-13,2542,興富發,45.60,45.80,45.30,45.60,742346
2018-07-12,2542,興富發,45.30,45.80,44.95,45.50,1397009
2018-07-11,2542,興富發,44.80,45.30,44.60,45.00,1403566
2018-07-10,2542,興富發,45.20,45.40,44.85,44.85,1928360
2018-07-09,2542,興富發,44.10,45.00,44.00,44.80,1449875
2018-07-06,2542,興富發,44.05,44.20,43.40,43.95,1706029
2018-07-05,2542,興富發,44.50,44.50,44.00,44.00,1829077
2018-07-04,2542,興富發,44.00,44.65,44.00,44.45,887831
2018-07-03,2542,興富發,44.55,44.65,44.20,44.20,2590611
2018-07-02,2542,興富發,45.25,45.30,44.50,44.55,2276102
2018-06-29,2542,興富發,44.65,45.25,44.50,45.25,2207101
2018-06-28,2542,興富發,45.20,45.20,44.35,44.60,3540543
2018-06-27,2542,興富發,45.50,45.65,45.10,45.15,1927860
2018-06-26,2542,興富發,45.80,45.90,45.45,45.50,1607969
2018-06-25,2542,興富發,45.75,46.25,45.70,45.80,2130486
2018-06-22,2542,興富發,46.05,46.15,45.50,45.70,2563595
2018-06-21,2542,興富發,46.20,46.20,46.00,46.15,1318345
2018-06-20,2542,興富發,46.20,46.30,45.90,46.25,1664322
2018-06-19,2542,興富發,45.80,46.35,45.70,46.20,3419185
2018-06-15,2542,興富發,46.35,47.00,45.85,45.90,8868315
2018-06-14,2542,興富發,47.35,47.35,46.30,46.35,4300912
2018-06-13,2542,興富發,47.90,47.90,47.15,47.25,2016512
2018-06-12,2542,興富發,47.85,47.85,47.30,47.65,2347989
2018-06-11,2542,興富發,47.75,48.50,47.60,47.60,4705277
2018-06-08,2542,興富發,47.50,47.80,47.15,47.60,3061068
2018-06-07,2542,興富發,48.00,48.00,47.35,47.45,3518670
2018-06-06,2542,興富發,46.85,47.90,46.70,47.85,7299328
2018-06-05,2542,興富發,46.60,46.80,46.25,46.80,2942163
2018-06-04,2542,興富發,46.30,46.80,46.20,46.60,3598073
2018-06-01,2542,興富發,45.60,46.35,45.60,46.30,3606614
2018-05-31,2542,興富發,45.70,46.05,45.40,45.40,6616688
2018-05-30,2542,興富發,46.15,46.15,45.50,45.50,3814746
2018-05-29,2542,興富發,45.60,46.30,45.30,46.15,2864176
2018-05-28,2542,興富發,46.00,46.10,45.60,45.65,2011485
2018-05-25,2542,興富發,46.10,46.25,45.90,46.00,1730630
2018-05-24,2542,興富發,46.20,46.30,45.90,46.30,1974806
2018-05-23,2542,興富發,46.30,46.30,45.80,45.90,1636116
2018-05-22,2542,興富發,46.30,46.35,46.00,46.05,1739061
2018-05-21,2542,興富發,46.30,46.40,46.10,46.25,2230912
2018-05-18,2542,興富發,45.80,46.00,45.80,45.90,2133110
2018-05-17,2542,興富發,45.70,45.90,45.55,45.65,2279147
2018-05-16,2542,興富發,45.50,45.85,45.30,45.60,1581857
2018-05-15,2542,興富發,45.50,45.50,45.10,45.50,2846134
2018-05-14,2542,興富發,45.55,46.30,45.35,45.75,4001303
2018-05-11,2542,興富發,45.45,45.50,45.10,45.30,1368896
2018-05-10,2542,興富發,45.30,45.45,45.10,45.15,1467592
2018-05-09,2542,興富發,45.55,45.55,45.05,45.05,2050731
2018-05-08,2542,興富發,45.10,45.60,45.10,45.40,1519630
